group_id,user_id,role
3,1030,member
31,1030,member
1,1030,member
7,1030,member
13,1030,member
6,1030,member
19,486,member
24,486,member
29,486,member
21,486,member
13,486,member
35,486,member
3,237,member
7,113,member
25,113,member
19,113,member
3,113,member
12,113,member
17,113,member
3,1104,member
16,1104,member
32,1104,member
7,1104,member
6,1104,member
25,521,member
35,521,member
32,521,member
21,521,member
30,521,member
6,521,member
26,521,member
6,212,member
16,212,member
29,212,member
19,212,member
27,212,member
1,212,member
21,364,member
26,364,member
7,1109,member
1,1109,member
25,1109,member
12,1109,member
34,1109,member
17,273,member
34,273,member
25,273,member
31,990,member
12,848,member
17,848,member
23,848,member
14,848,member
21,127,member
26,127,member
18,127,member
33,166,member
28,150,member
35,711,member
13,711,member
32,711,member
2,210,member
12,210,member
31,210,member
32,210,member
29,210,member
11,1119,member
21,1119,member
3,626,member
28,626,member
5,626,member
1,1092,member
18,1092,member
27,1092,member
22,1092,member
7,1092,member
16,1092,member
6,362,member
19,1031,member
11,1031,member
7,1031,member
1,1031,member
35,1031,member
4,288,member
31,288,member
30,288,member
18,145,member
20,145,member
32,145,member
6,145,member
28,475,member
15,475,member
26,475,member
30,684,member
34,462,member
15,462,member
33,462,member
21,462,member
13,462,member
1,462,member
22,462,member
25,956,member
27,597,member
11,597,member
16,815,member
30,815,member
10,686,member
26,686,member
7,686,member
21,686,member
29,686,member
14,686,member
6,100,member
21,100,member
29,100,member
3,100,member
7,100,member
31,100,member
8,100,member
30,159,member
22,159,member
19,159,member
17,159,member
3,159,member
26,840,member
7,639,member
5,639,member
33,639,member
29,639,member
1,639,member
7,685,member
6,685,member
32,685,member
27,685,member
1,61,member
7,932,member
19,932,member
23,932,member
27,570,member
20,570,member
25,570,member
8,570,member
21,570,member
6,570,member
24,718,member
22,718,member
35,718,member
3,718,member
29,718,member
8,718,member
11,718,member
33,906,member
13,1072,member
1,1072,member
26,1072,member
24,1072,member
9,1072,member
7,1072,member
20,647,member
1,647,member
4,647,member
25,207,member
17,207,member
16,207,member
6,207,member
9,207,member
7,207,member
19,218,member
31,1070,member
17,1070,member
6,1070,member
5,1070,member
13,1070,member
29,974,member
3,974,member
11,974,member
17,974,member
20,974,member
14,974,member
35,876,member
18,876,member
12,876,member
17,876,member
12,441,member
19,441,member
33,441,member
8,156,member
25,156,member
17,156,member
19,156,member
21,156,member
18,1066,member
3,1066,member
12,1066,member
31,224,member
6,224,member
15,224,member
4,224,member
10,224,member
11,224,member
33,224,member
1,68,member
23,68,member
11,697,member
31,697,member
22,697,member
10,697,member
24,697,member
7,697,member
25,697,member
23,7,member
2,7,member
9,7,member
24,7,member
9,556,member
34,556,member
14,556,member
3,556,member
22,556,member
23,556,member
6,366,member
35,366,member
7,366,member
20,919,member
11,919,member
34,919,member
17,919,member
14,334,member
12,334,member
26,334,member
28,334,member
32,334,member
19,334,member
13,334,member
16,158,member
19,158,member
35,610,member
27,206,member
20,206,member
3,206,member
19,206,member
16,206,member
18,206,member
23,794,member
16,794,member
27,794,member
17,794,member
20,746,member
2,746,member
11,746,member
4,746,member
13,78,member
12,78,member
11,78,member
16,78,member
31,78,member
34,78,member
20,78,member
20,901,member
14,901,member
9,1050,member
15,1050,member
2,1050,member
25,1050,member
27,1050,member
9,123,member
5,123,member
33,123,member
12,123,member
24,123,member
27,123,member
17,123,member
18,1133,member
17,872,member
2,872,member
26,872,member
23,872,member
14,872,member
9,190,member
16,190,member
30,190,member
7,670,member
4,670,member
17,670,member
21,670,member
20,670,member
9,670,member
3,137,member
4,137,member
3,428,member
14,428,member
18,428,member
30,428,member
10,428,member
20,120,member
25,120,member
7,120,member
1,120,member
21,120,member
30,120,member
32,120,member
28,67,member
21,67,member
30,67,member
8,67,member
35,67,member
7,67,member
11,509,member
13,835,member
31,835,member
19,835,member
9,835,member
10,835,member
21,194,member
5,194,member
2,194,member
20,194,member
8,194,member
6,194,member
22,409,member
33,409,member
3,802,member
21,802,member
26,372,member
18,372,member
20,372,member
6,372,member
33,372,member
19,372,member
25,372,member
29,436,member
34,436,member
14,408,member
34,408,member
15,408,member
7,408,member
19,408,member
10,408,member
33,304,member
14,547,member
15,547,member
6,368,member
7,368,member
33,507,member
13,507,member
15,507,member
8,507,member
12,507,member
27,507,member
32,507,member
3,1097,member
19,538,member
15,538,member
20,538,member
26,538,member
16,538,member
29,538,member
11,121,member
28,121,member
12,121,member
33,121,member
24,121,member
1,121,member
16,121,member
26,254,member
29,254,member
31,254,member
25,757,member
14,529,member
27,529,member
20,529,member
21,529,member
27,710,member
17,710,member
25,633,member
9,633,member
35,633,member
18,633,member
17,633,member
1,633,member
29,633,member
29,235,member
2,235,member
32,235,member
13,571,member
1,571,member
24,571,member
22,916,member
6,916,member
3,916,member
28,1016,member
19,1016,member
8,490,member
20,490,member
23,490,member
6,490,member
15,490,member
24,698,member
23,698,member
14,698,member
16,698,member
30,698,member
32,698,member
12,698,member
10,478,member
2,478,member
14,478,member
16,478,member
13,478,member
21,1006,member
18,1006,member
2,1006,member
35,1006,member
23,1006,member
28,1006,member
13,1006,member
23,937,member
12,937,member
19,937,member
13,937,member
11,654,member
4,654,member
11,959,member
27,959,member
25,959,member
18,959,member
29,959,member
5,959,member
20,18,member
19,18,member
33,18,member
30,18,member
24,18,member
30,733,member
27,733,member
18,733,member
5,733,member
33,733,member
10,733,member
25,733,member
33,874,member
10,700,member
1,700,member
16,700,member
11,65,member
27,65,member
3,65,member
5,65,member
32,177,member
16,177,member
4,177,member
14,177,member
25,177,member
9,177,member
18,177,member
6,257,member
14,257,member
15,257,member
3,257,member
21,257,member
13,401,member
26,401,member
25,449,member
34,449,member
29,449,member
20,449,member
8,641,member
34,817,member
2,817,member
20,817,member
16,817,member
15,817,member
21,833,member
32,833,member
19,833,member
24,833,member
3,833,member
19,865,member
12,865,member
8,929,member
43,289,member
37,289,member
50,289,member
53,289,member
40,289,member
48,289,member
55,289,member
41,1032,member
55,1032,member
37,1032,member
46,1032,member
40,983,member
51,983,member
53,983,member
44,983,member
52,983,member
48,983,member
43,928,member
42,928,member
53,928,member
41,928,member
38,928,member
46,239,member
55,239,member
36,239,member
46,732,member
44,732,member
49,697,member
41,697,member
38,697,member
51,697,member
43,697,member
46,697,member
46,607,member
48,136,member
41,136,member
49,136,member
48,622,member
42,622,member
51,622,member
50,622,member
44,622,member
40,622,member
43,673,member
36,673,member
48,673,member
40,673,member
47,456,member
52,456,member
54,456,member
46,456,member
44,456,member
46,935,member
39,722,member
36,722,member
38,722,member
49,722,member
42,722,member
48,44,member
50,556,member
47,552,member
46,552,member
54,552,member
49,552,member
50,552,member
51,552,member
38,552,member
52,799,member
49,799,member
48,799,member
42,799,member
38,799,member
41,799,member
51,799,member
53,368,member
41,924,member
43,924,member
37,924,member
54,924,member
53,360,member
49,360,member
44,360,member
40,360,member
39,360,member
53,1091,member
50,1091,member
51,117,member
46,117,member
37,117,member
46,375,member
43,375,member
49,375,member
39,375,member
36,375,member
55,375,member
40,375,member
41,212,member
53,212,member
51,212,member
40,212,member
53,1093,member
38,1093,member
45,1093,member
39,1093,member
36,1093,member
46,1093,member
40,1093,member
38,185,member
40,185,member
40,613,member
52,613,member
54,613,member
50,613,member
39,613,member
55,613,member
48,613,member
43,1030,member
42,28,member
40,28,member
54,28,member
42,823,member
44,1022,member
47,1022,member
36,1022,member
42,1022,member
40,1022,member
54,1113,member
44,272,member
42,272,member
41,272,member
38,272,member
50,272,member
39,272,member
45,272,member
38,429,member
46,429,member
49,16,member
50,16,member
48,16,member
50,721,member
39,721,member
51,721,member
49,721,member
37,721,member
38,721,member
55,1083,member
43,1083,member
39,30,member
41,30,member
50,980,member
42,909,member
55,909,member
49,909,member
51,909,member
38,909,member
54,909,member
49,1063,member
36,1063,member
51,1063,member
45,403,member
40,403,member
37,403,member
50,1089,member
42,1089,member
55,1089,member
48,1089,member
43,1089,member
45,1089,member
40,1089,member
48,12,member
54,677,member
45,677,member
48,677,member
42,677,member
46,677,member
55,677,member
39,1135,member
50,1135,member
43,1135,member
50,39,member
48,39,member
42,39,member
40,39,member
47,39,member
49,39,member
50,1092,member
